,name,state_name,dist_wind_,land_wind_,com_pv_tec,resid_pv_t,util_pv_te,longitude,latitude
1624,Newport News,Virginia,1395552.97,0.0,424930.88,195838.06,232596.05,-76.51837111523962,37.10475283230066
1625,Erie,New York,17710460.51,5200325.73,1339488.7,1704447.87,50963008.4,-78.73071701186693,42.76222495049667
1626,Henry,Iowa,8695019.04,7400122.04,51745.79,56166.99,48074607.48,-91.54458532908701,40.98790626851534
1627,Douglas,Illinois,7405458.15,8222560.2,47968.39,55095.54,55036627.88,-88.21741722823735,39.76946399719377
1628,Webster,Kentucky,4787167.36,4114462.22,197678.38,32501.46,31078354.8,-87.68317369069129,37.51835736085038
1629,Radford,Virginia,134433.33,0.0,57386.83,16766.52,0.0,-80.5582570236829,37.12297737425882
1630,Lawrence,Alabama,6508069.93,4617794.23,100515.9,80002.1,51968644.75,-87.31107450799556,34.52201656108578
1631,Yazoo,Mississippi,7577135.03,6288397.96,74122.0,41261.45,81834917.58,-90.39652258225634,32.78034894976162
1632,Yalobusha,Mississippi,4239401.15,3401443.66,50723.34,29544.45,34605384.25,-89.70762770553293,34.02820339457046
1633,Auglaize,Ohio,10238236.2,6993265.55,280813.04,124139.34,46524024.83,-84.22172331747504,40.560918730929586
1634,Belmont,Ohio,7351872.92,4923202.25,300827.34,161748.07,2073997.76,-80.98849433196467,40.01580128588181
1635,Brown,Ohio,7799202.96,7221291.8,183345.74,92719.54,45741827.86,-83.86771790877222,38.93422594267533
1636,Butler,Ohio,5770215.29,3032632.31,992906.21,766579.82,30899044.25,-84.57566452186049,39.43863430244539
1637,Carroll,Ohio,7211632.53,4646237.14,149957.49,64685.29,6658758.61,-81.08973453914884,40.57961284033274
1638,Hamblen,Tennessee,1904086.92,622611.65,275147.85,124726.09,3124626.87,-83.26672618294471,36.21728418946615
1639,Hamilton,Tennessee,5056755.2,1604171.2,919093.46,703605.19,9694936.34,-85.16477274072795,35.1808763076523
1640,Hancock,Tennessee,1756624.23,966445.67,8341.71,13627.96,107735.4,-83.22183709498515,36.52362512138991
1641,Hancock,West Virginia,755944.81,352006.78,39233.78,56200.23,75773.67,-80.57401478975062,40.52163597524735
1642,Hampshire,West Virginia,6302482.52,4569289.27,18725.95,40307.94,3439264.94,-78.61416537559725,39.317058752371814
1643,Greenbrier,West Virginia,6855407.3,4924345.61,56159.76,75620.21,4762256.34,-80.45294752147558,37.94692514067469
1644,Grant,West Virginia,4633779.28,2882180.95,19699.86,22412.18,1685235.84,-79.1955505418334,39.10511017391247
1645,Campbell,Virginia,4089404.19,4619221.3,149537.71,119272.33,23146718.61,-79.09633231040456,37.20567082149895
1646,Caroline,Virginia,4381612.17,2741390.74,56721.78,76501.38,34676766.97,-77.3475430174075,38.027195930405185
1647,Todd,Kentucky,4857558.76,5820345.16,114862.58,27129.12,34636822.37,-87.17908359475057,36.83560070962221
1648,Shelby,Kentucky,4167884.35,5353528.36,92099.11,84911.67,33732409.77,-85.19478500370354,38.215392813069464
1649,Simpson,Kentucky,2997428.14,3313443.0,157110.14,39035.1,26944441.53,-86.58225926149147,36.74193575023894
1650,Spencer,Kentucky,1611321.98,2262018.98,17434.11,43191.51,10433922.1,-85.3277982453817,38.032430884329706
1651,Taylor,Kentucky,3057508.3,2808615.13,59357.21,50293.38,14480738.16,-85.32792201736865,37.366410207938266
1652,Dallas,Arkansas,4073674.45,4123640.07,20158.49,19980.55,61344279.95,-92.65448657059434,33.96982776827856
1653,Orange,Indiana,5710329.34,4096986.61,44413.31,42719.02,12479016.83,-86.49507622014156,38.541773943890256
1654,Benton,Iowa,13610380.25,15063714.03,56079.76,89419.64,80136841.73,-92.0656876987365,42.08014570186906
1655,Black Hawk,Iowa,11269959.85,8960917.89,303810.75,273389.79,61424133.07,-92.30884108112262,42.470105221722044
1656,Craighead,Arkansas,10042035.15,9379263.12,450221.81,221969.69,83938773.71,-90.63291061112015,35.8307774563094
1657,Cross,Arkansas,6369171.28,7904933.22,76766.73,37695.45,74320275.99,-90.7712282564658,35.29574358360849
1658,Buchanan,Iowa,12255303.82,11348025.78,57677.4,56002.39,69590812.98,-91.83787064203958,42.47076052544222
1659,Crittenden,Arkansas,6375443.69,6622250.59,143864.68,100290.22,73595991.48,-90.30841535365431,35.208223328803
1660,Bulloch,Georgia,8923236.42,762428.81,204500.58,107451.22,58482484.16,-81.7431754724091,32.396880919068764
1661,Burke,Georgia,5901570.78,2008911.44,94177.42,37872.76,73430374.56,-82.00072998610328,33.06114156563765
1662,Butts,Georgia,1676937.79,1502728.36,41935.78,56682.01,16014292.13,-83.95722642275143,33.28915054702632
1663,Calhoun,Georgia,1590993.87,812711.72,32900.26,9152.2,30248277.46,-84.62485757813046,31.529249532154072
1664,Camden,Georgia,3438026.01,148099.97,91937.91,93689.58,32880780.38,-81.67841099356092,30.9328974476734
1665,Richland,Illinois,6766309.83,5843223.88,36577.64,45624.26,44335875.65,-88.08509283570667,38.712362803526965
1666,Randolph,Illinois,8790939.58,7871832.07,70577.47,83145.81,61442573.44,-89.82561522707121,38.052063467938744
1667,Putnam,Illinois,2617620.69,2211724.75,11314.45,18925.05,16651177.07,-89.28581698939455,41.20446114126193
1668,Pulaski,Illinois,3035030.53,1097137.77,12799.19,14121.85,19207740.14,-89.12666266803161,37.222844513122205
1669,Pope,Illinois,4272377.84,1703813.69,4638.57,10650.59,2096716.8,-88.56147926164593,37.412633049776815
1670,Sheboygan,Wisconsin,14766433.85,3718020.27,370910.59,248742.86,42177538.91,-87.94539412736371,43.72115664474503
1671,Sauk,Wisconsin,15026005.79,6363970.53,231842.5,147900.72,35644512.15,-89.94837413351462,43.42682427986907
1672,Clark,Illinois,8911546.86,8634626.33,56203.7,47970.73,59494311.52,-87.78772975465905,39.33354318051669
